Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Código INDEC_x,Código INDEC_y
2017,4,Santa Cruz,29018,434.0,29452,78.0,78.0
2017,4,Santa Fe,672137,323.0,672460,82.0,82.0
2017,4,Santiago Del Estero,68842,2.0,68844,,
2017,4,Tierra Del Fuego,28346,508.0,28854,,
2017,4,Tucumán,162298,34.0,162332,94.0,94.0
2018,4,Buenos Aires,3626502,10104.0,3636606,6.0,6.0
2018,4,Ciudad Autónoma de Buenos Aires,1385577,3443.0,1389020,2.0,
2018,4,Catamarca,33574,9.0,33583,10.0,10.0
2018,4,Chaco,103257,13.0,103270,22.0,22.0
2018,4,Chubut,77204,1518.0,78722,26.0,26.0
2018,4,Córdoba,737234,105.0,737339,14.0,14.0
2018,4,Corrientes,100591,10.0,100601,18.0,18.0
2018,4,Entre Ríos,222003,44.0,222047,30.0,30.0
2018,4,Formosa,45204,0.0,45204,34.0,34.0
2018,4,Jujuy,90132,1.0,90133,38.0,38.0
2018,4,La Pampa,85368,268.0,85636,42.0,42.0
2018,4,La Rioja,51633,18.0,51651,46.0,46.0
2018,4,Mendoza,204982,1322.0,206304,50.0,50.0
2018,4,Misiones,116273,0.0,116273,54.0,54.0
2018,4,Neuquén,112309,2056.0,114365,58.0,58.0
2018,4,Río Negro,115922,915.0,116837,62.0,62.0
2018,4,Salta,134577,1.0,134578,66.0,66.0
2018,4,San Juan,61834,564.0,62398,70.0,70.0
2018,4,San Luis,96040,291.0,96331,74.0,74.0
2018,4,Santa Cruz,24443,325.0,24768,78.0,78.0
2018,4,Santa Fe,720161,229.0,720390,82.0,82.0
2018,4,Santiago Del Estero,89333,2.0,89335,,
2018,4,Tierra Del Fuego,45716,544.0,46260,,
2018,4,Tucumán,171972,32.0,172004,94.0,94.0
2019,4,Buenos Aires,3681120,5134.0,3686254,6.0,6.0
2019,4,Ciudad Autónoma de Buenos Aires,1356695,1410.0,1358105,2.0,
2019,4,Catamarca,38310,1.0,38311,10.0,10.0
2019,4,Chaco,117900,3.0,117903,22.0,22.0
2019,4,Chubut,95292,810.0,96102,26.0,26.0
2019,4,Córdoba,806633,55.0,806688,14.0,14.0
2019,4,Corrientes,113831,3.0,113834,18.0,18.0
2019,4,Entre Ríos,239017,13.0,239030,30.0,30.0
2019,4,Formosa,46711,0.0,46711,34.0,34.0
2019,4,Jujuy,88881,0.0,88881,38.0,38.0
2019,4,La Pampa,90280,119.0,90399,42.0,42.0
2019,4,La Rioja,48999,3.0,49002,46.0,46.0
2019,4,Mendoza,185157,623.0,185780,50.0,50.0
2019,4,Misiones,135813,0.0,135813,54.0,54.0
2019,4,Neuquén,116069,376.0,116445,58.0,58.0
2019,4,Río Negro,126636,504.0,127140,62.0,62.0
2019,4,Salta,172443,2.0,172445,66.0,66.0
2019,4,San Juan,64715,259.0,64974,70.0,70.0
2019,4,San Luis,108053,148.0,108201,74.0,74.0
2019,4,Santa Cruz,39170,200.0,39370,78.0,78.0
2019,4,Santa Fe,769019,150.0,769169,82.0,82.0
2019,4,Santiago Del Estero,103587,1.0,103588,,
2019,4,Tierra Del Fuego,40101,291.0,40392,,
2019,4,Tucumán,198621,23.0,198644,94.0,94.0
2020,4,Buenos Aires,4028195,5066.0,4033261,6.0,6.0
2020,4,Ciudad Autónoma de Buenos Aires,1378140,1390.0,1379530,2.0,
2020,4,Catamarca,52395,1.0,52396,10.0,10.0
2020,4,Chaco,139088,3.0,139091,22.0,22.0
2020,4,Chubut,129749,825.0,130574,26.0,26.0
2020,4,Córdoba,902646,55.0,902701,14.0,14.0
2020,4,Corrientes,125656,3.0,125659,18.0,18.0
2020,4,Entre Ríos,247368,13.0,247381,30.0,30.0
2020,4,Formosa,50206,0.0,50206,34.0,34.0
2020,4,Jujuy,105851,0.0,105851,38.0,38.0
2020,4,La Pampa,96779,116.0,96895,42.0,42.0
2020,4,La Rioja,52775,3.0,52778,46.0,46.0
2020,4,Mendoza,214838,615.0,215453,50.0,50.0
2020,4,Misiones,147161,0.0,147161,54.0,54.0
2020,4,Neuquén,132762,373.0,133135,58.0,58.0
2020,4,Río Negro,140709,501.0,141210,62.0,62.0
2020,4,Salta,187388,2.0,187390,66.0,66.0
2020,4,San Juan,72340,256.0,72596,70.0,70.0
2020,4,San Luis,119287,148.0,119435,74.0,74.0
2020,4,Santa Cruz,40477,197.0,40674,78.0,78.0
2020,4,Santa Fe,820676,137.0,820813,82.0,82.0
2020,4,Santiago Del Estero,106668,1.0,106669,,
2020,4,Tierra Del Fuego,39325,289.0,39614,,
2020,4,Tucumán,231067,22.0,231089,94.0,94.0
2021,4,Buenos Aires,4502772,6385.0,4509157,6.0,6.0
2021,4,Ciudad Autónoma de Buenos Aires,1409935,2184.0,1412119,2.0,
2021,4,Catamarca,59089,1.0,59090,10.0,10.0
2021,4,Chaco,143740,5.0,143745,22.0,22.0
2021,4,Chubut,159364,944.0,160308,26.0,26.0
2021,4,Córdoba,986693,77.0,986770,14.0,14.0
2021,4,Corrientes,135908,4.0,135912,18.0,18.0
2021,4,Entre Ríos,265024,22.0,265046,30.0,30.0
2021,4,Formosa,53663,0.0,53663,34.0,34.0
2021,4,Jujuy,113915,0.0,113915,38.0,38.0
2021,4,La Pampa,106834,173.0,107007,42.0,42.0
2021,4,La Rioja,83124,4.0,83128,46.0,46.0
2021,4,Mendoza,266783,804.0,267587,50.0,50.0
2021,4,Misiones,171132,0.0,171132,54.0,54.0
2021,4,Neuquén,146989,477.0,147466,58.0,58.0
2021,4,Río Negro,153189,564.0,153753,62.0,62.0
2021,4,Salta,199399,6.0,199405,66.0,66.0
2021,4,San Juan,79667,291.0,79958,70.0,70.0
2021,4,San Luis,118662,187.0,118849,74.0,74.0
2021,4,Santa Cruz,48276,210.0,48486,78.0,78.0
2021,4,Santa Fe,866265,176.0,866441,82.0,82.0
2021,4,Santiago Del Estero,115859,2.0,115861,,
2021,4,Tierra Del Fuego,52042,315.0,52357,,
2021,4,Tucumán,238609,30.0,238639,94.0,94.0
2022,4,Buenos Aires,4788466,6199.0,4794665,6.0,6.0
2022,4,Ciudad Autónoma de Buenos Aires,1549781,2145.0,1551926,2.0,
2022,4,Catamarca,70908,1.0,70909,10.0,10.0
2022,4,Chaco,143658,5.0,143663,22.0,22.0
2022,4,Chubut,167855,904.0,168759,26.0,26.0
2022,4,Córdoba,1049592,68.0,1049660,14.0,14.0
2022,4,Corrientes,155449,4.0,155453,18.0,18.0
2022,4,Entre Ríos,270952,22.0,270974,30.0,30.0
2022,4,Formosa,61840,0.0,61840,34.0,34.0
2022,4,Jujuy,118218,0.0,118218,38.0,38.0
2022,4,La Pampa,113993,171.0,114164,42.0,42.0
2022,4,La Rioja,86258,4.0,86262,46.0,46.0
2022,4,Mendoza,291327,777.0,292104,50.0,50.0
2022,4,Misiones,186269,0.0,186269,54.0,54.0
2022,4,Neuquén,159712,468.0,160180,58.0,58.0
2022,4,Río Negro,161544,548.0,162092,62.0,62.0
2022,4,Salta,205855,5.0,205860,66.0,66.0
2022,4,San Juan,103545,281.0,103826,70.0,70.0
2022,4,San Luis,135028,192.0,135220,74.0,74.0
2022,4,Santa Cruz,50005,198.0,50203,78.0,78.0
2022,4,Santa Fe,887581,110.0,887691,82.0,82.0
2022,4,Santiago Del Estero,119492,2.0,119494,,
2022,4,Tierra Del Fuego,54948,312.0,55260,,
2022,4,Tucumán,263392,30.0,263422,94.0,94.0
2023,4,Buenos Aires,5005720,5900.0,5011620,6.0,6.0
2023,4,Ciudad Autónoma de Buenos Aires,1472317,2050.0,1474367,2.0,
2023,4,Catamarca,74586,1.0,74587,10.0,10.0
2023,4,Chaco,147381,5.0,147386,22.0,22.0
2023,4,Chubut,169313,857.0,170170,26.0,26.0
2023,4,Córdoba,1079239,63.0,1079302,14.0,14.0
2023,4,Corrientes,159469,3.0,159472,18.0,18.0
2023,4,Entre Ríos,298617,20.0,298637,30.0,30.0
2023,4,Formosa,62002,0.0,62002,34.0,34.0
2023,4,Jujuy,118020,0.0,118020,38.0,38.0
2023,4,La Pampa,121164,162.0,121326,42.0,42.0
2023,4,La Rioja,87717,4.0,87721,46.0,46.0
2023,4,Mendoza,298621,730.0,299351,50.0,50.0
2023,4,Misiones,200333,0.0,200333,54.0,54.0
2023,4,Neuquén,164188,439.0,164627,58.0,58.0
2023,4,Río Negro,167902,515.0,168417,62.0,62.0
2023,4,Salta,204727,5.0,204732,66.0,66.0
2023,4,San Juan,102963,247.0,103210,70.0,70.0
2023,4,San Luis,154520,165.0,154685,74.0,74.0
2023,4,Santa Cruz,86844,187.0,87031,78.0,78.0
2023,4,Santa Fe,909395,106.0,909501,82.0,82.0
2023,4,Santiago Del Estero,123228,2.0,123230,,
2023,4,Tierra Del Fuego,61294,305.0,61599,,
2023,4,Tucumán,266308,27.0,266335,94.0,94.0
