Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Código INDEC_x,Código INDEC_y
2022,1,San Juan,87888,290.0,88178,70.0,70.0
2022,1,San Luis,119659,185.0,119844,74.0,74.0
2022,1,Santa Cruz,48898,204.0,49102,78.0,78.0
2022,1,Santa Fe,870364,115.0,870479,82.0,82.0
2022,1,Santiago Del Estero,116459,2.0,116461,,
2022,1,Tierra Del Fuego,52298,313.0,52611,,
2022,1,Tucumán,245554,30.0,245584,94.0,94.0
2023,1,Buenos Aires,4814729,6199.0,4820928,6.0,6.0
2023,1,Ciudad Autónoma de Buenos Aires,1546584,2145.0,1548729,2.0,
2023,1,Catamarca,71491,1.0,71492,10.0,10.0
2023,1,Chaco,142437,5.0,142442,22.0,22.0
2023,1,Chubut,169149,904.0,170053,26.0,26.0
2023,1,Córdoba,1049904,68.0,1049972,14.0,14.0
